UTC,Open,High,Low,Close,Volume
07.08.2025 06:48:00.000 UTC,1.16771,1.16784,1.16771,1.16774,57.72
07.08.2025 06:49:00.000 UTC,1.16772,1.1678,1.16766,1.1678,51.21
07.08.2025 06:50:00.000 UTC,1.16779,1.1678,1.1676,1.16772,48.33
07.08.2025 06:51:00.000 UTC,1.16771,1.1679,1.16769,1.1679,52.38
07.08.2025 06:52:00.000 UTC,1.16792,1.16793,1.16779,1.16779,73.44
07.08.2025 06:53:00.000 UTC,1.16779,1.16784,1.16779,1.16779,15.3
07.08.2025 06:54:00.000 UTC,1.16781,1.16784,1.16777,1.16782,35.64
07.08.2025 06:55:00.000 UTC,1.1678,1.16796,1.16777,1.16788,66.48
07.08.2025 06:56:00.000 UTC,1.16787,1.1679,1.16778,1.16778,27
07.08.2025 06:57:00.000 UTC,1.16779,1.1678,1.1676,1.16773,44.59
07.08.2025 06:58:00.000 UTC,1.16772,1.16775,1.16754,1.16757,66.15
07.08.2025 06:59:00.000 UTC,1.16757,1.16762,1.16743,1.16758,92.7
07.08.2025 07:00:00.000 UTC,1.16761,1.16761,1.16748,1.16752,107.1
07.08.2025 07:01:00.000 UTC,1.16753,1.16756,1.16745,1.16752,66.69
07.08.2025 07:02:00.000 UTC,1.1675,1.16779,1.16746,1.16771,105.3
07.08.2025 07:03:00.000 UTC,1.16772,1.1678,1.16758,1.16763,47.24
07.08.2025 07:04:00.000 UTC,1.16765,1.16765,1.16746,1.16755,59.62
07.08.2025 07:05:00.000 UTC,1.16753,1.16755,1.16732,1.16732,37.57
07.08.2025 07:06:00.000 UTC,1.16734,1.16752,1.16734,1.16749,39.81
07.08.2025 07:07:00.000 UTC,1.1675,1.16753,1.16746,1.1675,28.32
07.08.2025 07:08:00.000 UTC,1.16751,1.16759,1.16745,1.16751,42.78
07.08.2025 07:09:00.000 UTC,1.1675,1.16763,1.16747,1.1676,61.89
07.08.2025 07:10:00.000 UTC,1.16761,1.16772,1.16758,1.16758,36.9
07.08.2025 07:11:00.000 UTC,1.16759,1.16759,1.16741,1.16742,46.35
07.08.2025 07:12:00.000 UTC,1.16741,1.16753,1.1674,1.16752,61.38
07.08.2025 07:13:00.000 UTC,1.16753,1.16765,1.1675,1.16765,32.85
07.08.2025 07:14:00.000 UTC,1.16764,1.16765,1.16746,1.16746,65.02
07.08.2025 07:15:00.000 UTC,1.16748,1.1675,1.16738,1.16746,99.2
07.08.2025 07:16:00.000 UTC,1.16746,1.16779,1.16743,1.16779,65.73
07.08.2025 07:17:00.000 UTC,1.1678,1.16783,1.16775,1.16783,31.32
07.08.2025 07:18:00.000 UTC,1.16788,1.1679,1.16768,1.16768,46.02
07.08.2025 07:19:00.000 UTC,1.16767,1.16767,1.16752,1.1676,49.59
07.08.2025 07:20:00.000 UTC,1.16768,1.16773,1.16759,1.16759,70.36
07.08.2025 07:21:00.000 UTC,1.16765,1.16766,1.16744,1.16744,45.9
07.08.2025 07:22:00.000 UTC,1.16746,1.1678,1.16744,1.16778,59.07
07.08.2025 07:23:00.000 UTC,1.16779,1.16788,1.16779,1.16787,42.06
07.08.2025 07:24:00.000 UTC,1.16788,1.16802,1.16786,1.16795,60.99
07.08.2025 07:25:00.000 UTC,1.16795,1.16797,1.16768,1.16768,74.25
07.08.2025 07:26:00.000 UTC,1.16769,1.1677,1.16758,1.16767,39.15
07.08.2025 07:27:00.000 UTC,1.16766,1.16785,1.16766,1.16783,45.9
07.08.2025 07:28:00.000 UTC,1.16783,1.16786,1.16775,1.16781,26.1
07.08.2025 07:29:00.000 UTC,1.16782,1.16788,1.16772,1.16782,124.2
07.08.2025 07:30:00.000 UTC,1.16783,1.16795,1.16758,1.16759,107.77
07.08.2025 07:31:00.000 UTC,1.16758,1.16772,1.16758,1.16761,48.84
07.08.2025 07:32:00.000 UTC,1.16758,1.1676,1.16753,1.16756,48.03
07.08.2025 07:33:00.000 UTC,1.16755,1.16764,1.16755,1.16764,21.81
07.08.2025 07:34:00.000 UTC,1.16763,1.1677,1.16762,1.16765,35.64
07.08.2025 07:35:00.000 UTC,1.16763,1.16805,1.16763,1.16805,54.09
07.08.2025 07:36:00.000 UTC,1.16806,1.16841,1.16806,1.16829,100.83
07.08.2025 07:37:00.000 UTC,1.1683,1.16844,1.16821,1.16844,70.03
07.08.2025 07:38:00.000 UTC,1.16844,1.1686,1.16843,1.1686,60.57
07.08.2025 07:39:00.000 UTC,1.16858,1.1686,1.16844,1.16851,58.05
07.08.2025 07:40:00.000 UTC,1.1685,1.1685,1.16836,1.16844,46.68
07.08.2025 07:41:00.000 UTC,1.16844,1.16844,1.1683,1.16831,106.05
07.08.2025 07:42:00.000 UTC,1.16835,1.16841,1.16813,1.16828,122.8
07.08.2025 07:43:00.000 UTC,1.1683,1.16847,1.16828,1.16847,81.87
07.08.2025 07:44:00.000 UTC,1.16848,1.16856,1.16831,1.16839,65.01
07.08.2025 07:45:00.000 UTC,1.16838,1.16846,1.16826,1.16844,91.38
07.08.2025 07:46:00.000 UTC,1.16843,1.16849,1.1684,1.16841,26.97
07.08.2025 07:47:00.000 UTC,1.16843,1.16869,1.1684,1.16861,150.22
07.08.2025 07:48:00.000 UTC,1.1686,1.16875,1.1686,1.16868,81.9
07.08.2025 07:49:00.000 UTC,1.1687,1.16882,1.1686,1.1687,56.28
